"id","lat","lng"
1,-30.274258,111.837153
2,25.4829,20.29535
3,52.66294,50.857776
4,5.554642,35.501497
5,-72.42958,23.888784
6,-23.464598,-59.919238
7,22.990954,-102.747084
8,-6.654750,-79.936051
9,-20.870509,-140.585407
10,-85.244898,176.243551
11,56.425804,-2.773715
12,14.519913,103.117399
13,1.143897,-52.450349
14,-33.248938,101.143236
15,4.254175,149.394794
16,31.940147,-30.463679
17,-88.975654,16.495874
18,24.466185,-145.702622
19,46.405903,171.131174
20,-40.848792,70.357551
21,-84.946237,179.286248
22,-53.417300,109.33874
23,-61.163627,24.906986
24,-25.423874,-175.752979
25,8.814045,-40.481052
26,-23.238827,136.573031
27,33.349812,175.705776
28,58.107462,28.959107
29,-69.640672,-74.217173
30,77.316442,-151.259471
31,56.86627,14.782097
32,81.183006,-41.705262
33,15.119379,-8.926814
34,39.940165,112.157222
35,-2.154018,-38.993548
36,71.200851,-173.557062
37,10.817362,21.84235
38,68.178856,136.507799
39,27.184422,-138.270294
40,61.533877,143.166423
41,-65.322628,142.102275
42,-1.681806,110.800700
43,-83.372488,63.659622
44,13.147603,80.16763
45,-51.297140,-134.691346
46,49.596133,50.197698
47,47.621958,177.403264
48,-41.136264,16.2144
49,46.741984,113.795786
50,-38.504867,-112.697424
51,72.348714,-50.551454
52,-31.353799,-63.464448
53,-11.854984,-22.176498
54,-53.876246,-34.830912
55,51.875500,20.371387
56,81.556718,-106.686578
57,-23.7536,-147.148356
58,-84.766029,-8.347262
59,-68.22187,-42.223692
60,-22.17426,-98.884553
61,-68.545896,-128.494199
62,-76.929064,168.39227
63,-65.513470,-27.710893
64,82.647317,-56.312231
65,-34.805775,76.700739
66,-44.689289,1.756270
67,14.628014,-39.867831
68,16.362721,-125.77125
69,61.799964,55.465893
70,54.576033,102.959973
71,-4.100311,127.466481
72,7.221389,-1.209868
73,7.354581,-133.959847
74,21.177126,159.634982
75,47.328651,-85.280
76,53.655134,-33.595670
77,19.289689,-132.62920
78,-84.703594,-157.841063
79,90.148589,-146.833528
80,44.908567,-86.820100
81,64.870489,17.568823
82,69.961280,-9.754630
83,-5.459755,25.255909
84,-59.692489,88.975136
85,-3.742572,-128.575751
86,56.176557,129.896899
87,-83.674681,-166.805415
88,-21.564606,-103.920659
89,25.239105,48.413463
90,74.246710,155.912966
91,6.743422,66.277575
92,43.565540,143.733458
93,23.215376,126.687097
94,85.766589,-81.975800
95,-50.322024,-8.681868
96,-58.819038,172.413955
97,57.435277,-168.51322
98,-43.875829,-146.710672
99,62.220334,176.991295
100,23.557447,-106.719172
101,52.723705,-83.368215
102,-35.860513,-167.17984
103,-73.164275,61.191880
104,71.311615,-180.525569
105,-25.726451,16.655950
106,30.835425,137.23404
107,-58.512950,32.27046
108,5.811747,104.568888
109,-76.349775,155.970418
110,-84.685796,-119.981263
111,-26.550293,137.428162
112,-37.555546,-137.174304
113,-70.431147,-171.739355
114,-84.755359,-80.87016
115,-88.498876,-80.163218
116,77.909015,-107.762949
117,44.244004,-166.492995
118,-35.524694,125.647194
119,-49.353696,-17.345506
120,-27.501535,-16.7184
121,-79.84477,92.226816
122,-76.9544,28.202911
123,-68.105029,137.964651
124,14.869117,97.158620
125,31.221221,-56.853364
126,22.582668,-24.814996
127,-7.282210,87.610098
128,15.270698,163.392962
